token           lexeme
--------------- --------------------
separator       @
separator       @
keyword         integer
identifier      a
separator       ,
identifier      b
separator       ,
identifier      c
separator       ,
identifier      d
separator       ;
separator       @
identifier      a
operator        =
integer         5
separator       ;
identifier      b
operator        =
integer         10
separator       ;
identifier      c
operator        =
integer         15
separator       ;
keyword         while
separator       (
identifier      a
operator        <
integer         15
separator       )
separator       {
identifier      a
operator        =
identifier      a
operator        +
integer         1
separator       ;
identifier      d
operator        =
identifier      b
operator        *
identifier      c
separator       ;
separator       }
identifier      c
operator        =
identifier      d
operator        +
identifier      a
separator       ;
keyword         write
separator       (
identifier      c
separator       )
separator       ;
separator       @
